"bg","N","w1","prob","w2"
"a a",38,"a",1.62632524108132e-05,"a"
"a acre",6,"a",2.56788195960208e-06,"acre"
"a also",6,"a",2.56788195960208e-06,"also"
"a am",6,"a",2.56788195960208e-06,"am"
"a and",45,"a",1.92591146970156e-05,"and"
"a april",5,"a",2.13990163300173e-06,"april"
"a at",14,"a",5.99172457240486e-06,"at"
"a baby",49,"a",2.0971036003417e-05,"baby"
"a bachelors",5,"a",2.13990163300173e-06,"bachelors"
"a back",18,"a",7.70364587880624e-06,"back"
"a backup",7,"a",2.99586228620243e-06,"backup"
"a bad",146,"a",6.24851276836506e-05,"bad"
"a badass",6,"a",2.56788195960208e-06,"badass"
"a bag",31,"a",1.32673901246108e-05,"bag"
"a baking",8,"a",3.42384261280277e-06,"baking"
"a balance",13,"a",5.56374424580451e-06,"balance"
"a balanced",7,"a",2.99586228620243e-06,"balanced"
"a ball",27,"a",1.15554688182094e-05,"ball"
"a ballot",6,"a",2.56788195960208e-06,"ballot"
"a banana",9,"a",3.85182293940312e-06,"banana"
"a band",27,"a",1.15554688182094e-05,"band"
"a bank",10,"a",4.27980326600347e-06,"bank"
"a bar",26,"a",1.1127488491609e-05,"bar"
"a bargain",7,"a",2.99586228620243e-06,"bargain"
"a barrel",6,"a",2.56788195960208e-06,"barrel"
"a bartender",7,"a",2.99586228620243e-06,"bartender"
"a base",7,"a",2.99586228620243e-06,"base"
"a baseball",9,"a",3.85182293940312e-06,"baseball"
"a basic",14,"a",5.99172457240486e-06,"basic"
"a basketball",7,"a",2.99586228620243e-06,"basketball"
"a batch",9,"a",3.85182293940312e-06,"batch"
"a bathroom",8,"a",3.42384261280277e-06,"bathroom"
"a batting",8,"a",3.42384261280277e-06,"batting"
"a battle",16,"a",6.84768522560555e-06,"battle"
"a bay",6,"a",2.56788195960208e-06,"bay"
"a beach",11,"a",4.70778359260381e-06,"beach"
"a bean",5,"a",2.13990163300173e-06,"bean"
"a bear",8,"a",3.42384261280277e-06,"bear"
"a beast",11,"a",4.70778359260381e-06,"beast"
"a beat",8,"a",3.42384261280277e-06,"beat"
"a beating",7,"a",2.99586228620243e-06,"beating"
"a beautiful",105,"a",4.49379342930364e-05,"beautiful"
"a beautifully",5,"a",2.13990163300173e-06,"beautifully"
"a bed",15,"a",6.4197048990052e-06,"bed"
"a beer",45,"a",1.92591146970156e-05,"beer"
"a belieber",6,"a",2.56788195960208e-06,"belieber"
"a belief",6,"a",2.56788195960208e-06,"belief"
"a believer",6,"a",2.56788195960208e-06,"believer"
"a bench",5,"a",2.13990163300173e-06,"bench"
"a benefit",5,"a",2.13990163300173e-06,"benefit"
"a best",16,"a",6.84768522560555e-06,"best"
"a bet",5,"a",2.13990163300173e-06,"bet"
"a better",159,"a",6.80488719294551e-05,"better"
"a bicycle",9,"a",3.85182293940312e-06,"bicycle"
"a bid",6,"a",2.56788195960208e-06,"bid"
"a big",358,"a",0.000153216956922924,"big"
"a bigger",24,"a",1.02715278384083e-05,"bigger"
"a bike",23,"a",9.84354751180798e-06,"bike"
"a bill",35,"a",1.49793114310121e-05,"bill"
"a billion",44,"a",1.88311343704153e-05,"billion"
"a bird",9,"a",3.85182293940312e-06,"bird"
"a birthday",24,"a",1.02715278384083e-05,"birthday"
"a bit",499,"a",0.000213562182973573,"bit"
"a bitch",41,"a",1.75471933906142e-05,"bitch"
"a bite",14,"a",5.99172457240486e-06,"bite"
"a bitter",11,"a",4.70778359260381e-06,"bitter"
"a black",59,"a",2.52508392694205e-05,"black"
"a blackberry",5,"a",2.13990163300173e-06,"blackberry"
"a blank",9,"a",3.85182293940312e-06,"blank"
"a blanket",8,"a",3.42384261280277e-06,"blanket"
"a blast",58,"a",2.48228589428201e-05,"blast"
"a blender",9,"a",3.85182293940312e-06,"blender"
"a blessed",14,"a",5.99172457240486e-06,"blessed"
"a blessing",18,"a",7.70364587880624e-06,"blessing"
"a blind",9,"a",3.85182293940312e-06,"blind"
"a block",10,"a",4.27980326600347e-06,"block"
"a blog",35,"a",1.49793114310121e-05,"blog"
"a blonde",5,"a",2.13990163300173e-06,"blonde"
"a blood",9,"a",3.85182293940312e-06,"blood"
"a bloody",8,"a",3.42384261280277e-06,"bloody"
"a blue",20,"a",8.55960653200694e-06,"blue"
"a blur",5,"a",2.13990163300173e-06,"blur"
"a board",12,"a",5.13576391920416e-06,"board"
"a boat",19,"a",8.13162620540659e-06,"boat"
"a body",16,"a",6.84768522560555e-06,"body"
"a boil",15,"a",6.4197048990052e-06,"boil"
"a bold",9,"a",3.85182293940312e-06,"bold"
"a bomb",15,"a",6.4197048990052e-06,"bomb"
"a bond",11,"a",4.70778359260381e-06,"bond"
"a bone",7,"a",2.99586228620243e-06,"bone"
"a boner",5,"a",2.13990163300173e-06,"boner"
"a bonus",15,"a",6.4197048990052e-06,"bonus"
"a book",116,"a",4.96457178856402e-05,"book"
"a bookstore",8,"a",3.42384261280277e-06,"bookstore"
"a boring",8,"a",3.42384261280277e-06,"boring"
"a boss",20,"a",8.55960653200694e-06,"boss"
"a bottle",38,"a",1.62632524108132e-05,"bottle"
"a bounty",8,"a",3.42384261280277e-06,"bounty"
"a bout",5,"a",2.13990163300173e-06,"bout"
"a bow",7,"a",2.99586228620243e-06,"bow"
"a bowl",29,"a",1.24114294714101e-05,"bowl"
"a box",36,"a",1.54072917576125e-05,"box"
"a boy",32,"a",1.36953704512111e-05,"boy"
"a boycott",5,"a",2.13990163300173e-06,"boycott"
"a boyfriend",16,"a",6.84768522560555e-06,"boyfriend"
"a brain",8,"a",3.42384261280277e-06,"brain"
"a brand",27,"a",1.15554688182094e-05,"brand"
"a brazilian",5,"a",2.13990163300173e-06,"brazilian"
"a break",69,"a",2.95306425354239e-05,"break"
"a breakfast",8,"a",3.42384261280277e-06,"breakfast"
