"qg","N","w1","w2","w3","w4","prob"
"a big fan of",15,"a","big","fan","of",6.4197103940247e-06
"a big part of",12,"a","big","part","of",5.13576831521976e-06
"a big thanks to",5,"a","big","thanks","to",2.1399034646749e-06
"a bill that would",7,"a","bill","that","would",2.99586485054486e-06
"a bit in the",5,"a","bit","in","the",2.1399034646749e-06
"a bit of a",40,"a","bit","of","a",1.71192277173992e-05
"a bottle of wine",7,"a","bottle","of","wine",2.99586485054486e-06
"a break from the",5,"a","break","from","the",2.1399034646749e-06
"a case of the",6,"a","case","of","the",2.56788415760988e-06
"a chance to win",13,"a","chance","to","win",5.56374900815474e-06
"a copy of the",12,"a","copy","of","the",5.13576831521976e-06
"a couple of days",16,"a","couple","of","days",6.84769108695968e-06
"a couple of hours",12,"a","couple","of","hours",5.13576831521976e-06
"a couple of minutes",5,"a","couple","of","minutes",2.1399034646749e-06
"a couple of months",12,"a","couple","of","months",5.13576831521976e-06
"a couple of times",12,"a","couple","of","times",5.13576831521976e-06
"a couple of weeks",24,"a","couple","of","weeks",1.02715366304395e-05
"a couple of years",19,"a","couple","of","years",8.13163316576463e-06
"a couple weeks ago",8,"a","couple","weeks","ago",3.42384554347984e-06
"a couple years ago",5,"a","couple","years","ago",2.1399034646749e-06
"a cup of coffee",6,"a","cup","of","coffee",2.56788415760988e-06
"a day to day",6,"a","day","to","day",2.56788415760988e-06
"a dream come true",9,"a","dream","come","true",3.85182623641482e-06
"a fan of the",6,"a","fan","of","the",2.56788415760988e-06
"a few days ago",12,"a","few","days","ago",5.13576831521976e-06
"a few days later",6,"a","few","days","later",2.56788415760988e-06
"a few minutes of",5,"a","few","minutes","of",2.1399034646749e-06
"a few minutes to",5,"a","few","minutes","to",2.1399034646749e-06
"a few months ago",11,"a","few","months","ago",4.70778762228478e-06
"a few more days",5,"a","few","more","days",2.1399034646749e-06
"a few of my",6,"a","few","of","my",2.56788415760988e-06
"a few of the",23,"a","few","of","the",9.84355593750455e-06
"a few things i",5,"a","few","things","i",2.1399034646749e-06
"a few weeks ago",24,"a","few","weeks","ago",1.02715366304395e-05
"a few years ago",30,"a","few","years","ago",1.28394207880494e-05
"a few years back",5,"a","few","years","back",2.1399034646749e-06
"a few years later",6,"a","few","years","later",2.56788415760988e-06
